"Station","Date","Air min","Air max","Degree-days","Accumulated DD","*","*"
LIVERMOR.C,03/15/2020,46,56,1.65,1.65,"1","1"
LIVERMOR.C,03/16/2020,44,65,5.02,6.67,"A","A"
LIVERMOR.C,03/17/2020,41,59,2.48,9.15,"1","1"
LIVERMOR.C,03/18/2020,44,57,2.06,11.20,"1","1"
LIVERMOR.C,03/19/2020,46,64,4.85,16.06,"1","1"
LIVERMOR.C,03/20/2020,41,65,5.02,21.08,"1","1"
LIVERMOR.C,03/21/2020,44,65,5.24,26.31,"1","1"
LIVERMOR.C,03/22/2020,43,72,9.01,35.33,"1","1"
LIVERMOR.C,03/23/2020,47,62,4.65,39.98,"1","1"
LIVERMOR.C,03/24/2020,46,62,3.96,43.94,"1","1"
LIVERMOR.C,03/25/2020,41,60,2.36,46.30,"1","1"
LIVERMOR.C,03/26/2020,36,63,3.33,49.62,"1","1"
LIVERMOR.C,03/27/2020,39,64,4.68,54.31,"1","1"
LIVERMOR.C,03/28/2020,46,59,3.81,58.11,"1","1"
LIVERMOR.C,03/29/2020,50,66,7.05,65.16,"1","1"
LIVERMOR.C,03/30/2020,45,70,8.00,73.16,"1","1"
LIVERMOR.C,03/31/2020,45,73,9.45,82.61,"1","1"
LIVERMOR.C,04/01/2020,45,68,7.20,89.81,"1","1"
LIVERMOR.C,04/02/2020,46,71,8.09,97.90,"1","1"
LIVERMOR.C,04/03/2020,41,70,7.02,104.92,"1","1"
LIVERMOR.C,04/04/2020,42,63,5.03,109.95,"1","1"
LIVERMOR.C,04/05/2020,49,57,2.30,112.24,"1","1"
LIVERMOR.C,04/06/2020,41,56,1.13,113.37,"1","1"
LIVERMOR.C,04/07/2020,39,69,7.76,121.13,"1","1"
LIVERMOR.C,04/08/2020,50,71,10.75,131.88,"1","1"
LIVERMOR.C,04/09/2020,51,62,6.02,137.90,"1","1"
LIVERMOR.C,04/10/2020,49,71,9.42,147.32,"1","1"
LIVERMOR.C,04/11/2020,46,72,9.70,157.02,"1","1"
LIVERMOR.C,04/12/2020,48,75,11.18,168.19,"1","1"
LIVERMOR.C,04/13/2020,46,79,14.12,182.31,"1","1"
LIVERMOR.C,04/14/2020,52,82,15.61,197.92,"1","1"
LIVERMOR.C,04/15/2020,46,85,16.85,214.78,"1","1"
LIVERMOR.C,04/16/2020,51,78,14.50,229.28,"1","1"
LIVERMOR.C,04/17/2020,51,72,12.00,241.28,"1","1"
LIVERMOR.C,04/18/2020,53,74,12.29,253.56,"1","1"
LIVERMOR.C,04/19/2020,48,73,11.54,265.10,"1","1"
LIVERMOR.C,04/20/2020,52,72,10.48,275.59,"1","1"
LIVERMOR.C,04/21/2020,45,79,12.97,288.55,"1","1"
LIVERMOR.C,04/22/2020,48,72,9.88,298.43,"A","A"
LIVERMOR.C,04/23/2020,47,71,8.83,307.27,"A","A"
LIVERMOR.C,04/24/2020,45,72,9.14,316.40,"A","A"
LIVERMOR.C,04/25/2020,46,73,11.40,327.80,"A","A"
LIVERMOR.C,04/26/2020,53,87,20.25,348.05,"1","1"
LIVERMOR.C,04/27/2020,54,87,19.03,367.08,"1","1"
LIVERMOR.C,04/28/2020,48,74,11.08,378.15,"A","A"
LIVERMOR.C,04/29/2020,48,75,13.04,391.19,"A","A"
LIVERMOR.C,04/30/2020,54,84,18.25,409.44,"1","1"
LIVERMOR.C,05/01/2020,51,84,18.50,427.94,"1","1"
LIVERMOR.C,05/02/2020,55,76,14.25,442.19,"1","1"
LIVERMOR.C,05/03/2020,50,79,13.26,455.45,"1","1"
LIVERMOR.C,05/04/2020,44,86,15.81,471.26,"1","1"
LIVERMOR.C,05/05/2020,46,86,16.86,488.12,"1","1"
LIVERMOR.C,05/06/2020,49,88,18.51,506.63,"1","1"
LIVERMOR.C,05/07/2020,49,76,13.01,519.64,"A","A"
LIVERMOR.C,05/08/2020,51,98,25.00,544.64,"1","1"
LIVERMOR.C,05/09/2020,53,93,22.50,567.14,"1","1"
LIVERMOR.C,05/10/2020,51,84,16.36,583.50,"1","1"
LIVERMOR.C,05/11/2020,46,80,13.65,597.14,"1","1"
LIVERMOR.C,05/12/2020,48,78,13.07,610.21,"A","A"
LIVERMOR.C,05/13/2020,48,78,13.53,623.74,"A","A"
LIVERMOR.C,05/14/2020,50,74,12.25,635.99,"1","1"
LIVERMOR.C,05/15/2020,51,82,17.50,653.49,"1","1"
LIVERMOR.C,05/16/2020,55,82,17.25,670.74,"1","1"
LIVERMOR.C,05/17/2020,50,78,14.00,684.74,"A","A"
LIVERMOR.C,05/18/2020,50,72,10.54,695.29,"1","1"
LIVERMOR.C,05/19/2020,48,74,11.79,707.08,"1","1"
LIVERMOR.C,05/20/2020,51,79,14.75,721.83,"1","1"
LIVERMOR.C,05/21/2020,50,86,18.50,740.33,"1","1"
LIVERMOR.C,05/22/2020,52,82,17.00,757.33,"1","1"
LIVERMOR.C,05/23/2020,52,80,15.75,773.08,"A","A"
LIVERMOR.C,05/24/2020,51,94,24.25,797.33,"1","1"
LIVERMOR.C,05/25/2020,58,100,27.50,824.83,"1","1"
LIVERMOR.C,05/26/2020,52,77,14.50,839.33,"A","A"
LIVERMOR.C,05/27/2020,52,78,16.25,855.58,"A","A"
LIVERMOR.C,05/28/2020,57,100,29.00,884.58,"1","1"
LIVERMOR.C,05/29/2020,59,90,25.00,909.58,"1","1"
LIVERMOR.C,05/30/2020,61,78,18.50,928.08,"1","1"
LIVERMOR.C,05/31/2020,57,79,19.00,947.08,"1","1"
LIVERMOR.C,06/01/2020,61,88,23.75,970.83,"1","1"
