"Station","Date","Air min","Air max","Degree-days","Accumulated DD","Not","Not1"
LIVERMOR.C,03/15/2020,46,56,2.12,2.12,"1","1"
LIVERMOR.C,03/16/2020,44,65,5.90,8.03,"A","A"
LIVERMOR.C,03/17/2020,41,59,2.86,10.89,"1","1"
LIVERMOR.C,03/18/2020,44,57,2.33,13.22,"1","1"
LIVERMOR.C,03/19/2020,46,64,5.82,19.04,"1","1"
LIVERMOR.C,03/20/2020,41,65,5.44,24.48,"1","1"
LIVERMOR.C,03/21/2020,44,65,5.90,30.38,"1","1"
LIVERMOR.C,03/22/2020,43,72,9.00,39.38,"1","1"
LIVERMOR.C,03/23/2020,47,62,5.08,44.46,"1","1"
LIVERMOR.C,03/24/2020,46,62,4.87,49.33,"1","1"
LIVERMOR.C,03/25/2020,41,60,3.28,52.61,"1","1"
LIVERMOR.C,03/26/2020,36,63,4.05,56.66,"1","1"
LIVERMOR.C,03/27/2020,39,64,4.76,61.42,"1","1"
LIVERMOR.C,03/28/2020,46,59,3.47,64.89,"1","1"
LIVERMOR.C,03/29/2020,50,66,8.00,72.89,"1","1"
LIVERMOR.C,03/30/2020,45,70,8.47,81.36,"1","1"
LIVERMOR.C,03/31/2020,45,73,9.91,91.28,"1","1"
LIVERMOR.C,04/01/2020,45,68,7.51,98.79,"1","1"
LIVERMOR.C,04/02/2020,46,71,9.19,107.98,"1","1"
LIVERMOR.C,04/03/2020,41,70,7.70,115.68,"1","1"
LIVERMOR.C,04/04/2020,42,63,4.69,120.37,"1","1"
LIVERMOR.C,04/05/2020,49,57,3.15,123.52,"1","1"
LIVERMOR.C,04/06/2020,41,56,1.69,125.20,"1","1"
LIVERMOR.C,04/07/2020,39,69,6.95,132.15,"1","1"
LIVERMOR.C,04/08/2020,50,71,10.50,142.65,"1","1"
LIVERMOR.C,04/09/2020,51,62,6.50,149.15,"1","1"
LIVERMOR.C,04/10/2020,49,71,10.09,159.24,"1","1"
LIVERMOR.C,04/11/2020,46,72,9.68,168.92,"1","1"
LIVERMOR.C,04/12/2020,48,75,11.73,180.65,"1","1"
LIVERMOR.C,04/13/2020,46,79,13.10,193.75,"1","1"
LIVERMOR.C,04/14/2020,52,82,17.00,210.75,"1","1"
LIVERMOR.C,04/15/2020,46,85,16.05,226.80,"1","1"
LIVERMOR.C,04/16/2020,51,78,14.50,241.30,"1","1"
LIVERMOR.C,04/17/2020,51,72,11.50,252.80,"1","1"
LIVERMOR.C,04/18/2020,53,74,13.50,266.30,"1","1"
LIVERMOR.C,04/19/2020,48,73,10.74,277.04,"1","1"
LIVERMOR.C,04/20/2020,52,72,12.00,289.04,"1","1"
LIVERMOR.C,04/21/2020,45,79,12.83,301.87,"1","1"
LIVERMOR.C,04/22/2020,48,72,10.25,312.11,"A","A"
LIVERMOR.C,04/23/2020,47,71,9.46,321.57,"A","A"
LIVERMOR.C,04/24/2020,45,72,9.43,331.00,"A","A"
LIVERMOR.C,04/25/2020,46,73,10.16,341.17,"A","A"
LIVERMOR.C,04/26/2020,53,87,20.00,361.17,"1","1"
LIVERMOR.C,04/27/2020,54,87,20.50,381.67,"1","1"
LIVERMOR.C,04/28/2020,48,74,11.24,392.90,"A","A"
LIVERMOR.C,04/29/2020,48,75,11.73,404.64,"A","A"
LIVERMOR.C,04/30/2020,54,84,19.00,423.64,"1","1"
